proteins,genes
1013455,1013450
1013476,1013475
1013480,1002437
1013508,1013507
1013513,1013512
1013524,1013519
1013529,1013528
1013534,1013533
1013539,1013538
1013555,1013554
1013560,1013559
1013581,1013567
1013603,1013602
1013609,1013608
1013634,1013633
1013639,1013638
1013644,1013643
1013649,1013648
1013654,1013653
1013659,1013658
1013664,1013663
1013693,1013686
1013714,1013713
1013752,1013745
1013765,1013758
1013770,1013769
1013778,1013777
1013789,1013784
1013794,1013793
1013813,1013810
1013838,1013837
1013843,1013842
1013848,1013847
1013874,1013873
1013879,1013878
1013886,1013885
1013891,1013890
1013896,1013895
1013901,1013900
1013908,1013907
1013922,1013921
1013943,1013942
1013948,1013947
1013991,1013976
1013996,1013995
1014001,1014000
1014021,1014008
1014037,1014027
1014048,1014043
1014062,1014054
1014072,1014071
1014090,1014089
1014127,1014122
1014138,1014133
1014152,1014148
1014157,1014156
1014162,1014161
1014174,1014168
1014199,1014194
1014226,1014217
1014231,1014230
1014236,1014235
1014272,1014267
1014281,1014278
1014293,1014288
1014298,1014297
1014303,1014302
1014308,1014307
1014313,1014312
1014327,1014326
1014332,1014331
1014356,1014355
1014361,1014360
1014371,1014368
1014404,1014397
1014409,1014408
1014414,1014413
1014427,1014420
1014432,1014431
1014437,1014436
1014447,1014446
1014452,1014451
1014480,1014475
1014485,1014484
1014503,1014494
1014545,1014535
1014556,1014551
1014563,1014562
1014576,1014569
1014587,1014582
1014595,1014594
1014600,1014599
1014609,1014608
1014631,1014630
1014636,1014635
1014661,1014660
1014672,1014667
1014677,1014676
1014682,1014681
1014687,1014686
1014692,1014691
1014697,1014696
1014718,1014717
1014750,1014741
1014755,1014754
1014782,1014781
1014790,1014789
1014799,1014796
1014810,1014805
1014820,1014816
1014825,1014824
1014833,1014832
1014847,1014846
1014868,1014867
1014885,1014875
1014924,1014923
1014929,1014928
1014940,1014935
1014947,1014946
1014952,1014951
1014963,1014958
1014974,1014969
1014979,1014978
1015001,1015000
1015023,1015022
1015028,1015027
1015033,1015032
1015058,1015057
1015075,1015064
1015080,1015079
1015089,1015086
1015100,1015096
1015105,1015104
1015118,1015111
1015139,1015134
1015144,1015143
1015165,1015164
1015191,1015190
1015196,1015195
1015208,1015203
1015215,1015214
1015220,1015219
1015225,1015224
1015230,1015229
1015239,1015238
1015244,1015243
1015275,1015272
1015280,1015279
1015285,1015284
1015311,1015310
1015316,1015315
1015327,1015322
1015336,1015333
1015341,1015340
1015346,1015345
1015351,1015350
1015356,1015355
1015383,1015376
1015396,1015389
1015417,1015416
1015422,1015421
1015460,1015455
1015465,1015464
1015474,1015471
1015479,1015478
1015486,1015485
1015491,1015490
1015500,1015499
1015509,1015506
1015532,1015531
1015537,1015536
1015582,1015577
1015587,1015586
1015592,1015591
1015597,1015596
1015602,1015601
1015622,1015611
1015627,1015626
1015655,1015643
1015690,1015689
1015695,1015694
1015720,1015719
1015725,1015724
1015738,1015731
1015743,1015742
1015748,1015747
1015761,1015754
1015766,1015765
1015790,1015782
1015820,1015814
1015825,1015824
1015859,1015858
1015864,1015863
1015873,1015870
1015878,1015877
1015889,1015884
1015903,1015896
1015910,1015909
1015924,1015923
1015945,1015944
1015956,1015951
1015996,1015989
1016007,1016002
1016012,1016011
1016017,1016016
1016022,1016021
1016029,1016028
1016034,1016033
1016039,1016038
1016049,1016048
1016054,1016053
1016078,1016077
1016083,1016082
1016088,1016087
1016123,1016120
1016128,1016127
1016133,1016132
1016138,1016137
1016143,1016142
1016148,1016147
1016153,1016152
1016167,1016166
1016181,1016174
1016204,1016199
1016240,1016235
1016255,1016247
1016260,1016259
1016273,1016266
1016278,1016277
1016288,1016285
1016293,1016292
1016302,1016301
1016312,1016309
1016335,1016334
1016348,1016341
1016353,1016352
1016389,1016384
1016394,1016393
1016399,1016398
1016404,1016403
1016413,1016410
1016423,1016420
1016428,1016427
1016451,1016450
1016473,1016472
1016478,1016477
1016509,1016508
1016514,1016513
1016519,1016518
1016524,1016523
1016544,1016536
1016549,1016548
1016558,1016557
1016566,1016565
1016594,1016593
1016601,1016600
1016611,1016608
1016637,1016636
1016647,1016644
1016652,1016651
1016659,1016658
1016670,1016665
1016675,1016674
1016689,1016688
1016701,1016696
1016732,1016727
1016737,1016736
1016772,1016767
1016777,1016776
1016786,1016783
1016791,1016790
1016796,1016795
1016807,1016802
1016812,1016811
1016826,1016825
1016858,1016849
1016863,1016862
1016892,1016891
1016902,1016899
