protein,keywords
1014127,1000014
1014127,1000015
1014127,1000016
1014127,1000546
1014152,1000016
1014152,1002861
1014178,1000016
1014178,1000560
1014178,1000891
1014245,1002158
1014272,1000235
1014272,1001383
1014293,1000235
1014293,1000236
1014346,1000012
1014346,1000015
1014346,1000999
1014371,1000308
1014371,1000439
1014371,1000440
1014379,1000308
1014427,1000560
1014442,1000012
1014442,1000015
1014442,1000308
1014442,1001308
1014480,1000012
1014480,1000308
1014480,1001308
1014503,1000012
1014503,1000014
1014503,1000015
1014503,1000016
1014503,1000546
1014507,1000012
1014507,1000015
1014507,1001308
1014515,1000016
1014515,1000560
1014515,1000891
1014556,1000235
1014556,1001383
1014576,1000102
1014576,1000155
1014576,1000158
1014576,1000195
1014587,1000012
1014587,1000308
1014587,1001308
1014622,1000102
1014622,1000155
1014622,1000158
1014622,1000195
1014710,1003790
1014718,1000393
1014718,1000529
1014718,1000530
1014750,1000012
1014750,1000015
1014750,1000225
1014750,1000575
1014768,1000012
1014768,1000015
1014777,1000195
1014777,1001942
1014790,1000393
1014790,1000529
1014790,1000530
1014799,1002976
1014810,1000236
1014820,1000308
1014833,1000235
1014833,1000236
1014841,1000014
1014885,1000392
1014885,1000393
1014885,1007639
1014885,1014870
1014890,1000016
1014890,1002861
1014894,1000308
1014894,1002976
1014906,1000392
1014906,1000611
1014906,1008823
1014906,1014903
1014911,1000012
1014911,1000014
1014911,1000015
1014911,1000016
1014911,1000543
1014911,1000546
1014963,1001308
1015010,1000308
1015018,1000195
1015018,1001942
1015045,1000491
1015075,1000015
1015075,1000574
1015075,1002059
1015100,1000014
1015128,1000439
1015160,1000157
1015169,1000999
1015208,1000012
1015208,1000015
1015208,1000086
1015248,1000014
1015248,1000546
1015262,1000393
1015262,1000529
1015262,1000530
1015266,1003790
1015275,1002158
1015306,1000308
1015396,1001308
1015435,1000426
1015460,1000102
1015460,1000158
1015460,1015450
1015495,1000012
1015495,1000015
1015495,1000086
1015523,1000393
1015523,1000529
1015523,1000530
1015546,1001413
1015555,1000012
1015555,1000015
1015555,1000158
1015555,1000308
1015555,1000545
1015622,1000394
1015622,1000890
1015655,1000394
1015660,1000015
1015660,1000574
1015667,1001413
1015685,1000087
1015685,1000308
1015685,1000439
1015685,1000561
1015685,1002976
1015685,1011435
1015711,1000195
1015771,1000012
1015771,1000014
1015771,1000015
1015771,1000016
1015771,1000546
1015776,1000014
1015776,1000195
1015820,1000195
1015820,1000427
1015820,1000491
1015837,1000016
1015837,1000561
1015837,1002861
1015845,1000014
1015859,1000195
1015859,1001942
1015889,1000236
1015956,1000392
1015956,1000393
1015956,1007639
1015971,1000012
1015971,1000014
1015971,1000015
1015971,1000016
1015975,1000308
1016007,1000236
1016034,1000195
1016034,1005827
1016063,1000012
1016063,1000308
1016063,1001308
1016073,1000014
1016073,1000393
1016073,1000529
1016073,1000530
1016092,1000016
1016101,1001413
1016101,1002701
1016106,1000012
1016106,1000014
1016106,1000015
1016106,1000016
1016106,1000546
1016123,1000015
1016123,1000574
1016181,1000012
1016181,1000015
1016181,1000086
1016225,1000014
1016225,1000016
1016240,1000236
1016255,1000012
1016255,1000015
1016255,1000087
1016255,1000145
1016288,1000016
1016288,1002861
1016312,1000611
1016326,1000393
1016326,1000529
1016326,1000530
1016348,1003790
1016389,1000012
1016389,1000015
1016413,1000491
1016423,1000016
1016442,1000012
1016442,1000015
1016544,1000394
1016544,1000826
1016544,1016530
1016544,1016531
1016570,1000014
1016601,1000155
1016601,1000158
1016615,1000012
1016615,1000015
1016623,1000102
1016623,1000155
1016623,1000156
1016623,1000393
1016623,1000529
1016623,1000720
1016623,1000721
1016623,1005635
1016628,1002976
1016701,1000012
1016701,1000015
1016701,1000086
1016716,1001413
1016716,1002701
1016732,1000015
1016732,1000574
1016743,1000012
1016743,1000015
1016743,1000308
1016743,1001308
1016807,1000012
1016807,1000015
1016807,1000308
1016807,1001308
1016871,1005827
1016887,1000236
1016928,1000012
1016928,1000015
1016928,1001413
1016928,1001552
1016928,1001553
1016935,1000195
1016935,1000880
1016968,1000012
1016968,1000308
1016968,1001308
1017029,1000999
1017086,1000543
1017100,1000195
1017112,1000016
1017112,1000891
1017154,1000308
1017154,1000439
1017154,1000510
1017162,1000016
1017162,1000631
1017218,1000012
1017218,1000014
1017218,1000015
1017218,1000016
1017218,1000546
1017252,1000561
1017252,1000999
1017252,1001438
1017252,1001439
1017256,1000016
1017256,1000394
1017256,1002861
1017260,1000393
1017260,1000529
1017260,1000530
1017269,1000012
1017269,1000014
1017269,1000015
1017269,1000016
1017284,1000012
1017284,1000015
1017284,1000491
1017284,1000999
1017284,1005869
1017308,1000195
1017308,1001942
1017375,1000014
1017375,1000016
1017412,1000394
1017412,1017400
1017416,1000308
1017416,1000439
1017420,1000235
1017420,1001383
1017434,1000016
1017434,1000560
1017434,1000562
1017434,1000891
1017464,1001308
1017497,1001413
1017525,1001413
1017538,1000308
1017542,1000611
1017550,1000102
1017550,1000155
1017550,1000156
1017550,1000393
1017550,1000529
1017550,1000720
1017550,1000721
1017550,1005635
1017628,1002976
1017637,1004149
1017673,1000308
1017673,1001618
1017673,1017662
1017700,1000235
1017700,1000236
1017741,1000015
1017741,1000574
1017787,1000308
1017817,1000235
1017817,1000236
1017879,1000236
1017895,1000014
1017916,1000394
1017924,1000195
1017924,1000427
1017962,1000308
1018030,1000491
1018065,1000100
1018065,1000102
1018065,1000155
1018065,1000158
1018065,1000393
1018065,1000720
1018065,1004186
1018065,1018050
1018073,1000012
1018073,1000015
1018073,1000426
1018085,1001413
1018137,1000308
1018141,1000236
1018170,1000561
1018170,1000890
1018170,1000999
1018188,1000014
1018188,1000016
1018211,1000236
1018218,1000012
1018218,1000014
1018218,1000015
1018218,1000016
1018218,1000546
1018222,1000012
1018222,1000308
1018222,1001308
1018274,1000012
1018274,1000015
1018282,1002059
1018295,1002701
1018295,1005827
1018304,1000158
1018304,1001282
1018348,1000491
1018375,1000012
1018375,1000014
1018375,1000015
1018375,1000016
1018375,1000546
1018396,1000012
1018396,1000015
1018418,1002792
1018442,1000102
1018442,1000155
1018442,1000156
1018442,1000393
1018442,1000529
1018442,1000720
1018442,1000721
1018442,1005635
1018500,1000014
1018500,1000016
1018514,1000491
