location,datasets
2003389,2000001
2003391,2000001
2003393,2000001
2003395,2000001
2003397,2000001
2003399,2000001
2003401,2000001
2003403,2000001
2003405,2000001
2003407,2000001
2003409,2000001
2003411,2000001
2003413,2000001
2003415,2000001
2003417,2000001
2003419,2000001
2003421,2000001
2003423,2000001
2003425,2000001
2003427,2000001
2003429,2000001
2003431,2000001
2003433,2000001
2003435,2000001
2003437,2000001
2003439,2000001
2003441,2000001
2003443,2000001
2003445,2000001
2003447,2000001
2003449,2000001
2003451,2000001
2003453,2000001
2003455,2000001
2003457,2000001
2003459,2000001
2003461,2000001
2003463,2000001
2003465,2000001
2003467,2000001
2003469,2000001
2003471,2000001
2003473,2000001
2003475,2000001
2003477,2000001
2003479,2000001
2003481,2000001
2003483,2000001
2003485,2000001
2003487,2000001
2003489,2000001
2003491,2000001
2003493,2000001
2003495,2000001
2003497,2000001
2003499,2000001
2003501,2000001
2003503,2000001
2003505,2000001
2003507,2000001
2003509,2000001
2003511,2000001
2003513,2000001
2003515,2000001
2003517,2000001
2003519,2000001
2003521,2000001
2003523,2000001
2003525,2000001
2003527,2000001
2003529,2000001
2003531,2000001
2003533,2000001
2003535,2000001
2003537,2000001
2003539,2000001
2003541,2000001
2003543,2000001
2003545,2000001
2003547,2000001
2003549,2000001
2003551,2000001
2003553,2000001
2003555,2000001
2003557,2000001
2003559,2000001
2003561,2000001
2003563,2000001
2003565,2000001
2003567,2000001
2003569,2000001
2003571,2000001
2003573,2000001
2003575,2000001
2003577,2000001
2003579,2000001
2003581,2000001
2003583,2000001
2003585,2000001
2003587,2000001
2003589,2000001
2003591,2000001
2003593,2000001
2003595,2000001
2003597,2000001
2003599,2000001
2003601,2000001
2003603,2000001
2003605,2000001
2003607,2000001
2003609,2000001
2003611,2000001
2003613,2000001
2003615,2000001
2003617,2000001
2003619,2000001
2003621,2000001
2003623,2000001
2003625,2000001
2003627,2000001
2003629,2000001
2003631,2000001
2003633,2000001
2003635,2000001
2003637,2000001
2003639,2000001
2003641,2000001
2003643,2000001
2003645,2000001
2003647,2000001
2003649,2000001
2003651,2000001
2003653,2000001
2003655,2000001
